Product Name,Price,Ratings,Link
"Lenovo IdeaPad 3 17 17.3"" HD+ Laptop Computer_ AMD Quad-Core Ryzen 7-3700U (Beats i7-8565U)_ 12GB DDR4 RAM, 128GB PCIe SSD + 1TB HDD_ Webcam_ Windows 10 S_ BROAGE 64GB Flash Drive_ Online Class Ready",$699.00,4.7 out of 5 stars,https://www.amazon.ca/gp/slredirect/picassoRedirect.html/ref=pa_sp_atf_aps_sr_pg1_1?ie=UTF8&adId=A0198420OY423AW0H4XH&url=%2FLenovo-17-Computer_-Quad-Core-i7-8565U%2Fdp%2FB08HDJD9G8%2Fref%3Dsr_1_1_sspa%3Fdchild%3D1%26keywords%3Dlaptop%2B7%26qid%3D1604816555%26sr%3D8-1-spons%26psc%3D1&qualifier=1604816555&id=1990846088924286&widgetName=sp_atf
"Newest Lenovo IdeaPad 3 17.3"" HD+ Premium Laptop w/ Mouse Pad | AMD Ryzen 7 3700U Quad-Core | 20GB RAM | 512GB SSD, Fingerprint Reader | AMD Radeon Vega 10 | Windows 10 Home",$769.00,-1,https://www.amazon.ca/gp/slredirect/picassoRedirect.html/ref=pa_sp_atf_aps_sr_pg1_1?ie=UTF8&adId=A0200614VKVF80FF7ZNK&url=%2FLenovo-IdeaPad-Premium-Quad-Core-Fingerprint%2Fdp%2FB08KY9CPQB%2Fref%3Dsr_1_2_sspa%3Fdchild%3D1%26keywords%3Dlaptop%2B7%26qid%3D1604816555%26sr%3D8-2-spons%26psc%3D1&qualifier=1604816555&id=1990846088924286&widgetName=sp_atf
"Acer Swift 3 Thin & Light Laptop, 14"" Full HD IPS, AMD Ryzen 7 4700U Octa-Core with Radeon Graphics, 8GB LPDDR4, 512GB NVMe SSD, Wi-Fi 6, Backlit KB, Fingerprint Reader, Alexa Built-in, SF314-42-R9YN",$679.99,4.6 out of 5 stars,https://www.amazon.ca/Acer-Octa-Core-Graphics-Fingerprint-SF314-42-R9YN/dp/B086KKKT15/ref=sr_1_3?dchild=1&keywords=laptop+7&qid=1604816555&sr=8-3
"Acer Aspire 7 Laptop, 15.6"" Full HD IPS Display, AMD Ryzen 5 3550H, NVIDIA GeForce GTX 1650, 8GB DDR4, 512GB NVMe SSD, Backlit Keyboard, Windows 10 Home, A715-41G-R7X4",$713.27,4.6 out of 5 stars,https://www.amazon.ca/Acer-Display-GeForce-Keyboard-A715-41G-R7X4/dp/B087BGWNFK/ref=sr_1_4?dchild=1&keywords=laptop+7&qid=1604816555&sr=8-4
"Lenovo Legion 5 Gaming Laptop, 15.6"" FHD (1920x1080) IPS Screen, AMD Ryzen 7 4800H Processor, 16GB DDR4, 512GB SSD, NVIDIA GTX 1660Ti, Windows 10, 82B1000AUS, Phantom Black",$999.99,4.6 out of 5 stars,https://www.amazon.ca/Lenovo-1920x1080-Processor-Windows-82B1000AUS/dp/B08BB9RWXD/ref=sr_1_5?dchild=1&keywords=laptop+7&qid=1604816555&sr=8-5
"ASUS TUF Gaming A17 Gaming Laptop, 17.3” 120Hz Full HD IPS-Type, AMD Ryzen 7 4800H, GeForce GTX 1650, 16GB DDR4, 512GB PCIe SSD + 1TB HDD, Gigabit Wi-Fi 5, Windows 10 Home, TUF706IH-ES75",$999.99,-1,https://www.amazon.ca/ASUS-IPS-Type-GeForce-Gigabit-TUF706IH-ES75/dp/B0863Z4SLS/ref=sr_1_6?dchild=1&keywords=laptop+7&qid=1604816555&sr=8-6
"Acer Aspire 7 Laptop, 15.6"" Full HD IPS Display, 9th Gen Intel Core i5-9300H, NVIDIA GeForce GTX 1650, 8GB DDR4, 512GB NVMe SSD, Backlit Keyboard, Windows 10 Home, A715-75G-544V",$810.59,4.0 out of 5 stars,https://www.amazon.ca/Acer-Display-i5-9300H-Keyboard-A715-75G-544V/dp/B087BJSC1Q/ref=sr_1_7?dchild=1&keywords=laptop+7&qid=1604816555&sr=8-7
"2020 Newest ASUS VivoBook 15.6"" Full HD Laptop AMD Ryzen 7 3700U 12GB RAM 512GB SSD Radeon RX Vega HDMI WiFi Bluetooth 10 Windows 10 Home Silver",$745.00,4.4 out of 5 stars,https://www.amazon.ca/Newest-ASUS-VivoBook-Bluetooth-Windows/dp/B088KR8FZR/ref=sr_1_8?dchild=1&keywords=laptop+7&qid=1604816555&sr=8-8
"ASUS VivoBook 15 Thin & Light Laptop, 15.6” FHD Display, AMD Quad Core R7-3700U CPU, 8GB DDR4 RAM, 512GB PCIe SSD, AMD Radeon Vega 10 Graphics, Fingerprint, Windows 10 Home, Slate Gray, F512DA-NH77",$675.00,4.5 out of 5 stars,https://www.amazon.ca/ASUS-VivoBook-R7-3700U-Fingerprint-F512DA-NH77/dp/B085344M9Q/ref=sr_1_9?dchild=1&keywords=laptop+7&qid=1604816555&sr=8-9
"Acer Swift 3 Light Laptop, 14"" FHD IPS, AMD Ryzen 7 4700U Octa-Core Processor with Radeon Graphics, 8GB LPDDR4, 512GB NVMe SSD, WiFi 6, Backlit Keyboard, Fingerprint Reader, SF314-42-R9YN (Renewed)",$634.99,5.0 out of 5 stars,https://www.amazon.ca/Acer-Octa-Core-Processor-Fingerprint-SF314-42-R9YN/dp/B08C5DJCXX/ref=sr_1_10?dchild=1&keywords=laptop+7&qid=1604816555&sr=8-10
Acer Swift 3 2020 Premium Business Laptop I 14 inch Full HD IPS I AMD 8-Core Ryzen 7 4700U (>i7-10510U) I 8GB DDR4 1TB PCIe SSD I Fingerprint Backlit USB-C Win 10 Pro + Delca 16GB Micro SD Card,$909.00,-1,https://www.amazon.ca/gp/slredirect/picassoRedirect.html/ref=pa_sp_mtf_aps_sr_pg1_1?ie=UTF8&adId=A05649183IPHF9Z11SBKP&url=%2FAcer-Premium-Business-i7-10510U-Fingerprint%2Fdp%2FB08B5RR1KV%2Fref%3Dsr_1_11_sspa%3Fdchild%3D1%26keywords%3Dlaptop%2B7%26qid%3D1604816555%26sr%3D8-11-spons%26psc%3D1&qualifier=1604816555&id=1990846088924286&widgetName=sp_mtf
"HP Envy X360 2020 Premium 2 in 1 Laptop I 15.6"" FHD IPS Touchscreen I AMD Octa-Core Ryzen 7 4700U (>i7-10510U) I 16GB DDR4 256GB PCIe SSD I B & O Alexa Backlit FP Win 10 + Delca 16GB Micro SD Card",$939.00,4.3 out of 5 stars,https://www.amazon.ca/gp/slredirect/picassoRedirect.html/ref=pa_sp_mtf_aps_sr_pg1_1?ie=UTF8&adId=A0179695TOMCOW8IQLNP&url=%2FHP-Envy-X360-Touchscreen-Alexa-Backlit%2Fdp%2FB08DCT5PR7%2Fref%3Dsr_1_12_sspa%3Fdchild%3D1%26keywords%3Dlaptop%2B7%26qid%3D1604816555%26sr%3D8-12-spons%26psc%3D1&qualifier=1604816555&id=1990846088924286&widgetName=sp_mtf
"Microsoft Surface Laptop 3 – 15"" Touch-Screen – AMD Ryzen 7 Surface Edition - 16GB Memory - 512GB Solid State Drive – Platinum (VFL-00001)","$1,989.00",4.5 out of 5 stars,https://www.amazon.ca/Microsoft-Surface-Laptop-Touch-Screen-Platinum/dp/B07YNKTLV6/ref=sr_1_13?dchild=1&keywords=laptop+7&qid=1604816555&sr=8-13
"ASUS TUF506IV-AS76 TUF Gaming A15 Gaming Laptop, 15.6” 144Hz Full HD IPS-Type, AMD Ryzen 7 4800H, GeForce RTX 2060, 16GB DDR4, 1TB PCIe SSD, 90WHr Battery, RGB Backlit KB, Windows 10 Home",$0,4.5 out of 5 stars,https://www.amazon.ca/ASUS-IPS-Type-GeForce-Battery-TUF506IV-AS76/dp/B0863DW238/ref=sr_1_14?dchild=1&keywords=laptop+7&qid=1604816555&sr=8-14
"Microsoft Surface Pro 7 – 12.3"" Touch-Screen - 10th Gen Intel Core i7 - 16GB Memory - 256GB SSD (Latest Model) – Platinum","$1,299.00",4.4 out of 5 stars,https://www.amazon.ca/NEW-Microsoft-Surface-Pro-Touch-Screen/dp/B07YNJ53F2/ref=sr_1_15?dchild=1&keywords=laptop+7&qid=1604816555&sr=8-15
"ROG Zephyrus G15 (2020) Ultra Slim Gaming Laptop, 15.6” 240Hz FHD, GeForce RTX 2060, AMD Ryzen 7 4800HS, 16GB DDR4, 1TB PCIe NVMe SSD, Windows 10 Pro, GA502IV-XS76","$1,349.99",4.2 out of 5 stars,https://www.amazon.ca/Zephyrus-Gaming-GeForce-Windows-GA502IV-XS76/dp/B0865VBN6X/ref=sr_1_16?dchild=1&keywords=laptop+7&qid=1604816555&sr=8-16
"ASUS TUF VR Ready Gaming Laptop, 15.6"" IPS FHD, AMD Ryzen 7-4800H Octa-Core up to 4.20 GHz, NVIDIA RTX 2060, 16GB RAM, 1TB SSD, RGB Backlit KB, RJ-45 Ethernet, Win 10","$1,197.00",4.5 out of 5 stars,https://www.amazon.ca/ASUS-7-4800H-Octa-Core-Backlit-Ethernet/dp/B089LHQ9PG/ref=sr_1_17?dchild=1&keywords=laptop+7&qid=1604816555&sr=8-17
"Lenovo IdeaPad 3 14"" Laptop, 14.0"" FHD 1920 x 1080 Display, AMD Ryzen 5 3500U Processor, 8GB DDR4 RAM, 256GB SSD, AMD Radeon Vega 8 Graphics, Narrow Bezel, Windows 10, 81W0003QUS, Abyss Blue",$449.99,4.4 out of 5 stars,https://www.amazon.ca/Lenovo-IdeaPad-Processor-Graphics-81W0003QUS/dp/B0862269YP/ref=sr_1_18?dchild=1&keywords=laptop+7&qid=1604816555&sr=8-18
"ASUS - 15.6"" Laptop - AMD Ryzen 7-8GB Memory - NVIDIA GeForce RTX 2060-512GB SSD - Fortress Gray",$999.00,-1,https://www.amazon.ca/ASUS-Laptop-GeForce-2060-512GB-Fortress/dp/B08CGFBSYC/ref=sr_1_19?dchild=1&keywords=laptop+7&qid=1604816555&sr=8-19
"VivoBook 17 17.3"" Laptop - AMD Ryzen 7 - 12GB Memory - AMD Radeon RX Vega 10 - 512GB SSD - Transparent Silver Model:X712DA-BR7N6SKU:6403423",$799.00,4.1 out of 5 stars,https://www.amazon.ca/VivoBook-17-3-Laptop-Transparent-X712DA-BR7N6SKU/dp/B087ZNP8FL/ref=sr_1_20?dchild=1&keywords=laptop+7&qid=1604816555&sr=8-20
"Dell Inspiron 14 7000 2020 Premium 2 in 1 Laptop I 14"" FHD IPS Touchscreen I AMD 8-Core Ryzen 7 4700U (>i7-10510U) I 16GB DDR4 512GB PCIe SSD I Alexa Backlit FP WiFi Win 10 + Delca 16GB Micro SD Card","$1,049.00",5.0 out of 5 stars,https://www.amazon.ca/gp/slredirect/picassoRedirect.html/ref=pa_sp_btf_aps_sr_pg1_1?ie=UTF8&adId=A078052232ERZKVGAFDH1&url=%2FDell-14-7000-Touchscreen-Alexa-Backlit%2Fdp%2FB08FM29NDD%2Fref%3Dsr_1_21_sspa%3Fdchild%3D1%26keywords%3Dlaptop%2B7%26qid%3D1604816555%26sr%3D8-21-spons%26psc%3D1&qualifier=1604816555&id=1990846088924286&widgetName=sp_btf
"Wireless USB WiFi Adapter for PC - 802.11AC 1200Mbps Dual 5Dbi Antennas 5G/2.4G WiFi USB for PC Desktop Laptop MAC Windows 10/8/8.1/7/Vista/XP/Mac10.6/10.13, WiFi USB Computer Network Adapters",$22.98,4.3 out of 5 stars,https://www.amazon.ca/gp/slredirect/picassoRedirect.html/ref=pa_sp_btf_aps_sr_pg1_1?ie=UTF8&adId=A0969039HB4WABKRZRR3&url=%2FWireless-USB-WiFi-Adapter-PC%2Fdp%2FB07V4R3QHW%2Fref%3Dsr_1_22_sspa%3Fdchild%3D1%26keywords%3Dlaptop%2B7%26qid%3D1604816555%26sr%3D8-22-spons%26psc%3D1&qualifier=1604816555&id=1990846088924286&widgetName=sp_btf
